km,fare
649,10780
650,10780
651,10780
652,10780
653,10780
654,10780
655,10780
656,11110
657,11110
658,11110
659,11110
660,11110
661,11110
662,11110
663,11110
664,11110
665,11110
666,11110
667,11110
668,11110
669,11110
670,11110
671,11110
672,11110
673,11110
674,11110
675,11110
676,11110
677,11110
678,11110
679,11110
680,11110
681,11110
682,11110
683,11110
684,11110
685,11110
686,11110
687,11110
688,11110
689,11110
690,11110
691,11110
692,11440
693,11440
694,11440
695,11440
696,11440
697,11440
698,11440
699,11440
700,11440
701,11440
702,11440
703,11440
704,11440
705,11440
706,11440
707,11440
708,11440
709,11440
710,11440
711,11440
712,11440
713,11440
714,11440
715,11440
716,11440
717,11440
718,11440
719,11440
720,11440
721,11440
722,11440
723,11440
724,11440
725,11440
726,11440
727,11440
728,11440
729,11660
730,11660
731,11660
732,11660
733,11660
734,11660
735,11660
736,11660
737,11660
738,11660
739,11660
740,11660
741,11660
742,11660
743,11660
744,11660
745,11660
746,11660
747,11660
748,11660
749,11660
750,11660
751,11660
752,11660
753,11660
754,11660
755,11660
756,11660
757,11660
758,11660
759,11660
760,11660
761,11660
762,11660
763,11660
764,11660
765,11990
766,11990
767,11990
768,11990
769,11990
770,11990
771,11990
772,11990
773,11990
774,11990
775,11990
776,11990
777,11990
778,11990
779,11990
780,11990
781,11990
782,11990
783,11990
784,11990
785,11990
786,11990
787,11990
788,11990
789,11990
790,11990
791,11990
792,11990
793,11990
794,11990
795,11990
796,11990
797,11990
798,11990
799,11990
800,11990
