km,fare
650,10450
651,10450
652,10450
653,10450
654,10450
655,10450
656,10450
657,10450
658,10450
659,10450
660,10450
661,10450
662,10450
663,10450
664,10450
665,10450
666,10450
667,10450
668,10450
669,10450
670,10450
671,10450
672,10450
673,10450
674,10450
675,10450
676,10450
677,10450
678,10450
679,10450
680,10450
681,10780
682,10780
683,10780
684,10780
685,10780
686,10780
687,10780
688,10780
689,10780
690,10780
691,10780
692,10780
693,10780
694,10780
695,10780
696,10780
697,10780
698,10780
699,10780
700,10780
701,10780
702,10780
703,10780
704,10780
705,10780
706,10780
707,10780
708,10780
709,10780
710,10780
711,10780
712,10780
713,10780
714,10780
715,10780
716,10780
717,10780
718,10780
719,10780
720,10780
721,11110
722,11110
723,11110
724,11110
725,11110
726,11110
727,11110
728,11110
729,11110
730,11110
731,11110
732,11110
733,11110
734,11110
735,11110
736,11110
737,11110
738,11110
739,11110
740,11110
741,11110
742,11110
743,11110
744,11110
745,11110
746,11110
747,11110
748,11110
749,11110
750,11110
751,11110
752,11110
753,11110
754,11110
755,11110
756,11110
757,11110
758,11110
759,11110
760,11110
761,11440
762,11440
763,11440
764,11440
765,11440
766,11440
767,11440
768,11440
769,11440
770,11440
771,11440
772,11440
773,11440
774,11440
775,11440
776,11440
777,11440
778,11440
779,11440
780,11440
781,11440
782,11440
783,11440
784,11440
785,11440
786,11440
787,11440
788,11440
789,11440
790,11440
791,11440
792,11440
793,11440
794,11440
795,11440
796,11440
797,11440
798,11440
799,11440
800,11440
801,11770
802,11770
803,11770
804,11770
805,11770
806,11770
807,11770
808,11770
809,11770
810,11770
811,11770
812,11770
813,11770
814,11770
815,11770
816,11770
817,11770
818,11770
819,11770
820,11770
821,11770
822,11770
823,11770
824,11770
825,11770
826,11770
827,11770
828,11770
829,11770
830,11770
831,11770
832,11770
833,11770
834,11770
835,11770
836,11770
837,11770
838,11770
839,11770
840,11770
841,11990
842,11990
843,11990
844,11990
845,11990
846,11990
847,11990
848,11990
849,11990
850,11990
851,11990
852,11990
853,11990
854,11990
855,11990
856,11990
857,11990
858,11990
859,11990
860,11990
861,11990
862,11990
863,11990
864,11990
865,11990
866,11990
867,11990
868,11990
869,11990
870,11990
871,11990
872,11990
873,11990
874,11990
875,11990
876,11990
877,11990
878,11990
879,11990
880,11990
881,12320
882,12320
883,12320
884,12320
885,12320
886,12320
887,12320
888,12320
889,12320
890,12320
891,12320
892,12320
893,12320
894,12320
895,12320
896,12320
897,12320
898,12320
899,12320
900,12320
901,12320
902,12320
903,12320
904,12320
905,12320
906,12320
907,12320
908,12320
909,12320
910,12320
911,12320
912,12320
913,12320
914,12320
915,12320
916,12320
917,12320
918,12320
919,12320
920,12320
921,12650
922,12650
923,12650
924,12650
925,12650
926,12650
927,12650
928,12650
929,12650
930,12650
931,12650
932,12650
933,12650
934,12650
935,12650
936,12650
937,12650
938,12650
939,12650
940,12650
941,12650
942,12650
943,12650
944,12650
945,12650
946,12650
947,12650
948,12650
949,12650
950,12650
951,12650
952,12650
953,12650
954,12650
955,12650
956,12650
957,12650
958,12650
959,12650
960,12650
